Date,AAPL,MSFT,AMZN,GOOGL,META,XOM,BRK.B,JPM,JNJ,WMT
2021-02-12 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0,0.4092167831484717,0.2153519381713435,0.2244743423277291,0.13750708795244415,0.013449848400011573
2021-02-19 00:00:00-05:00,0.0,0.0,0.0,0.0,0.03787016298472181,0.36215537009129606,0.22759000481067668,0.16005352758229566,0.14599300543911486,0.0663379290918948
2021-02-26 00:00:00-05:00,0.0,0.0,0.0,0.0,0.020660548899698438,0.2077305045406368,0.23258249265065045,0.12696626785072174,0.22017526397602705,0.19188492208226565
2021-03-05 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0,0.08789984336965238,0.22810970443233197,0.011966426277387105,0.33836463541858336,0.3336593905020452
2021-03-12 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.21573070899016009,0.0,0.3939486804779176,0.39032061053192235
2021-03-19 00:00:00-04:00,0.0,0.015024557338365281,0.011190810655740716,0.0,0.0,0.0,0.18796989054823673,0.0,0.31579124618381144,0.47002349527384574
2021-03-26 00:00:00-04:00,0.0,0.050376217258260865,0.010651728554467164,0.0,0.0,0.0,0.22472268579392068,0.0,0.30011775737097807,0.41413161102237317
2021-04-02 00:00:00-04:00,0.0,0.050567984092708095,0.00707877717112857,0.0,0.0,0.008353609261991466,0.18049987126197622,0.0,0.3353089796489204,0.41819077856327525
2021-04-09 00:00:00-04:00,0.0,0.004921244731304837,0.0,0.0,0.0,0.1602203330474917,0.14916679242369382,0.0,0.3470649768764833,0.33862665292102634
2021-04-16 00:00:00-04:00,0.0,0.04225687706018522,0.10909464352683311,0.0,0.0,0.0,0.07741169706779355,0.0,0.37101831655116463,0.4002184657940235
2021-04-23 00:00:00-04:00,0.0,0.0,0.10698778760644895,0.0,0.0,0.11386999811675225,0.04187017170666304,0.0,0.37454042928594505,0.36273161328419085
2021-04-30 00:00:00-04:00,0.0,0.05362472912878686,0.07539802177999763,0.0,0.0,0.14964485325784638,0.0033523266079155574,0.0,0.38961345868394914,0.3283666105415044
