Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2015-01-01,93.32964324951172,95.9446377586789,91.72749862734665,95.53950201884648,171618800
2015-01-08,92.96129608154297,95.4381791608149,92.14180819006353,94.12147271299771,223269000
2015-01-15,94.04781341552734,94.48978782732955,91.4880639730655,93.39406501313165,157460500
2015-01-22,92.9244613647461,96.29449579860686,92.90604898543809,94.41611698669266,184476000
2015-01-29,94.7199478149414,95.34607391293584,91.84713271385944,92.85077219560242,197915600
2015-02-05,96.47865295410156,96.69963664257362,94.4253318394531,94.95937516784849,124369600
2015-02-12,98.67009735107422,98.7253415162941,96.95745797981093,97.10477809537883,84375400
2015-02-19,99.74742126464844,100.23543022444446,98.57803467707478,98.60565676537325,105250100
2015-02-26,99.85789489746094,100.75104642049519,99.3146418411507,99.84869221934882,114798000
2015-03-05,96.78250122070312,100.33668742195859,96.74566943844287,100.1157037533413,132302700
2015-03-12,99.36988830566406,99.82107244160753,96.38658371619073,96.70885308118942,149394400
2015-03-19,97.10478973388672,100.42878322194474,97.06795794434409,99.47117776867292,144370600
2015-03-26,96.94973754882812,98.58325211353545,96.20219077960088,96.52520133859927,175753500
2015-04-02,98.41712188720703,98.55555698229504,96.29446920546133,97.04201590249602,88861600
2015-04-09,99.52458190917969,100.02294399350359,98.03873358065778,98.3709679291061,102946800
2015-04-16,100.27213287353516,100.43825357546228,97.41117148799124,99.25695393558102,135844200
2015-04-23,100.91813659667969,102.58857421305815,99.91218871508772,99.93064343831233,163995700
2015-04-30,98.48172760009766,101.4349839194461,97.82647563652108,100.34597192788604,190992600
2015-05-07,99.67223358154297,100.57666991027428,98.38018470096965,98.45401767496811,136441800
2015-05-14,101.52726745605469,102.13637201411474,100.11524498303673,100.48439584678154,100817500
2015-05-21,102.40402221679688,102.51477171236697,100.37366408572687,101.35192665273851,86376700
2015-05-28,101.88719940185547,102.45016364970989,101.02891022406936,102.2102099437961,112212400
2015-06-04,101.04734802246094,101.9610153122929,98.93392648626767,101.31498729554399,136418000
2015-06-11,100.68742370605469,101.65646223624374,99.03544769196998,101.3888229560858,115787700
2015-06-18,101.72108459472656,102.56091205253342,101.0012304762915,101.05660170352431,123974700
2015-06-25,99.82752227783203,102.45456605214218,98.64350533172514,102.35281393421447,157616200
2015-07-02,98.13471221923828,100.1974961313389,97.89421370865614,100.11424827551323,128732700
2015-07-09,102.10301971435547,102.50077592679442,98.06995902083798,99.43898253678688,131186200
2015-07-16,104.17506408691406,105.81233552385392,102.74128977228253,102.94479395188657,163348600
2015-07-23,103.18531036376953,104.6190777715998,101.55728381334823,104.27682712206501,152805400
2015-07-30,103.83280181884766,104.52656218734775,102.32503182526713,102.94478939404299,123643800
2015-08-06,102.2325439453125,104.06407476641192,100.10501598446612,103.92532125526402,171645300
2015-08-13,101.87177276611328,103.10204288043958,101.27976446666067,102.33427969114162,118156100
2015-08-20,95.30419921875,101.25204001581535,78.38569090450159,100.92828650034315,485532700
2015-08-27,96.10894012451172,98.05146779194972,93.08414089242925,96.68244419304074,275965800
2015-09-03,96.07190704345703,98.33818739859905,93.9721223508852,96.48816031446898,179001600
2015-09-10,99.05974578857422,99.15225283433325,95.84995313942282,95.96095030265887,157860900
2015-09-17,96.3679428100586,100.57675863452548,95.39667544832143,98.95798440316061,209431200
2015-09-24,94.35841369628906,97.37202256102154,91.56734627456358,95.66585263272816,217788700
2015-10-01,97.94693756103516,98.16021148914439,93.17153148572784,94.52533668202007,202004300
2015-10-08,98.22511291503906,99.45837619886983,96.63021710053094,97.5760306995837,148169300
2015-10-15,99.69945526123047,100.92344386453975,98.45692448453002,98.58674092166395,142861100
2015-10-22,105.7266616821289,105.7266616821289,100.30216749054816,100.58962420511678,195480000
2015-10-29,106.65394592285156,107.0712191387189,105.0590571310848,105.24450717738198,123340800
2015-11-05,104.91070556640625,107.0063253292893,104.43779868784029,106.74669239971324,146609700
2015-11-12,105.36502075195312,105.46702037241049,101.5168802644693,104.48412265650924,181559500
2015-11-19,105.84719848632812,106.57973797465434,104.63247770404517,105.42065784903635,110146200
2015-11-26,106.12538146972656,107.3308277210008,105.38357437810443,106.07902250588629,84904500
2015-12-03,104.67887115478516,106.94139841638727,103.70524076448181,106.41285802365658,187985500
2015-12-10,105.68960571289062,105.86578114873554,101.42418355954163,104.9199745172287,232647400
2015-12-17,104.41925048828125,106.15323756004025,101.84145644406532,106.15323756004025,178044900
2015-12-24,105.35198974609375,106.54251880091779,103.7150256008431,104.73812996564241,77898000
2015-12-31,100.69221496582031,105.17527829326879,99.90163462785652,104.97995894596508,161380700
2016-01-07,94.77680206298828,99.79001990030697,94.62798326822858,98.54368733044188,297359300
2016-01-14,93.70719909667969,97.64150943660822,90.45186215535583,95.14885115198024,313128400
2016-01-21,93.54910278320312,96.72072799246278,92.84222749325134,94.10715923481862,233440000
2016-01-28,94.55362701416016,97.474129870921,92.89804904851668,95.10238062091831,241137900
2016-02-04,89.93102264404297,95.29767571738537,88.21033863756875,94.30247285923394,344944700
2016-02-11,95.33489990234375,95.46511285647568,88.53589614102752,88.7870190965466,208358100
2016-02-18,95.38138580322266,96.15336039909886,92.79571192792304,95.63250870143354,161837300
2016-02-25,98.43209075927734,98.4506895625575,94.72100150256439,95.57669547095168,154777800
2016-03-03,97.49268341064453,98.91572946142628,96.69280011087282,98.32977140994875,142937100
2016-03-10,100.05977630615234,100.32020217290813,96.08826054990867,97.90195285808244,159282700
2016-03-17,99.73420715332031,100.79451613142783,99.33426554957309,99.77140475249071,124347800
2016-03-24,102.01705932617188,102.65140123443597,99.37707703757857,99.54499128144616,86680700
