Date,XOM,CVX,SHEL,TTE,BP,COP,OXY,CNQ,SU,FANG,EOG,PBR
2019-01-07 00:00:00-05:00,0.29815695585137053,0.22871302288439124,0.0,0.0,0.47313002126423825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-14 00:00:00-05:00,0.29982697474836034,0.21762239830152538,0.0,0.0,0.48255062695011425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-21 00:00:00-05:00,0.29355900782829625,0.2197486064214851,0.0,0.0,0.48669238575021856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-28 00:00:00-05:00,0.2964942782266501,0.21744601633574437,0.0,0.0,0.4860597054376056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-04 00:00:00-05:00,0.2921657200934579,0.22412153041178032,0.0,0.0,0.4837127494947618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-11 00:00:00-05:00,0.2874484098981791,0.21297509490162408,0.0,0.0,0.4995764952001968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-18 00:00:00-05:00,0.2937194591264604,0.20509140601823986,0.0,0.0,0.5011891348552997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-25 00:00:00-05:00,0.26337866670442356,0.25772169758564245,0.0,0.0,0.47889963570993405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-04 00:00:00-05:00,0.28791785520387075,0.2297056047873832,0.0,0.0,0.42848781240370193,0.0,0.0,0.0,0.05388872760504417,0.0,0.0,0.0
2019-03-11 00:00:00-04:00,0.27515640879112974,0.22136356810069074,0.0,0.0,0.42849683940593936,0.0,0.0,0.0,0.07498318370224001,0.0,0.0,0.0
2019-03-18 00:00:00-04:00,0.28480001183551523,0.2501152259481231,0.0,0.0,0.4481712300351462,0.0,0.0,0.0,0.016913532181215638,0.0,0.0,0.0
2019-03-25 00:00:00-04:00,0.20324704942623897,0.1691237658750257,0.0,0.28420780225775233,0.3151396408887141,0.0,0.0,0.0,0.028281741552268782,0.0,0.0,0.0
2019-04-01 00:00:00-04:00,0.18132342153788542,0.15936014850752755,0.0,0.26025366966884234,0.28903775517807523,0.0,0.0,0.037756090595731914,0.04305258035113745,0.0,0.0,0.029216334160800092
2019-04-08 00:00:00-04:00,0.19700632269358964,0.1695204207454904,0.0,0.28150786471332273,0.3024145693484084,0.0,0.0,0.0,0.022975241189620126,0.0,0.0,0.026575581309568736
2019-04-15 00:00:00-04:00,0.20338837445346983,0.16387597578025356,0.0,0.28687188723659296,0.31138430737859746,0.0,0.0,0.0,0.03447945515108624,0.0,0.0,0.0
2019-04-22 00:00:00-04:00,0.19057448092472049,0.164217749430305,0.0,0.2697408226086426,0.2935378235324213,0.0,0.0,0.0,0.04445507521319362,0.0,0.0,0.03747404829071694
2019-04-29 00:00:00-04:00,0.2045546013959065,0.17592892241850008,0.0,0.2980126625066421,0.3215038136789513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-06 00:00:00-04:00,0.20369372995837087,0.17031997893869338,0.0,0.2807864915432903,0.3082930535200769,0.0,0.0,0.0,0.02334448050871117,0.0,0.0,0.013562265530857162
2019-05-13 00:00:00-04:00,0.1818968826666065,0.15866832451660534,0.0,0.2519122430098573,0.2731943447257421,0.0,0.0,0.01376733578785873,0.06563921220237537,0.0,0.0,0.05492165709095466
2019-05-20 00:00:00-04:00,0.19207761138840557,0.15148280599071567,0.0,0.2644178761919916,0.285177648931342,0.0,0.0,0.0,0.03913452630523522,0.0,0.0,0.06770953119230999
2019-05-27 00:00:00-04:00,0.1887890588017637,0.14548521809006887,0.0,0.24755334857175962,0.2734013030988218,0.0,0.0,0.05136199863816983,0.0348803961388733,0.0,0.0,0.05852867666054279
2019-06-03 00:00:00-04:00,0.19218118202943194,0.14816885424297127,0.0,0.25200643835340675,0.27535051455196025,0.0,0.0,0.03735969287717997,0.07427935999656164,0.0,0.0,0.020653957948488153
2019-06-10 00:00:00-04:00,0.1788825723381368,0.14391622037581459,0.0,0.23701099997403888,0.257241156739154,0.0,0.0,0.08310390419897508,0.07173332308130013,0.0,0.0,0.02811182329258062
2019-06-17 00:00:00-04:00,0.19794204795605677,0.15097825052642555,0.0,0.258501835870567,0.27754523019959537,0.0,0.0,0.03866282667739924,0.06743721792160337,0.0,0.0,0.008932590848352656
2019-06-24 00:00:00-04:00,0.1927832020408704,0.14526013190103923,0.0,0.24758578488076902,0.2740430202998866,0.0,0.0,0.06451400152834208,0.07581385934909267,0.0,0.0,0.0
2019-07-01 00:00:00-04:00,0.21169971825330683,0.1481947718201895,0.0,0.2731141290321914,0.3027856021791782,0.0,0.0,0.014431345670295418,0.04587673900842996,0.0,0.0,0.0038976940364087867
2019-07-08 00:00:00-04:00,0.17443345710258917,0.14982013023185076,0.0,0.24198298139949082,0.26558333243189913,0.0,0.0,0.07057082376817128,0.058952078418634396,0.0,0.0,0.03865719664736454
2019-07-15 00:00:00-04:00,0.1899549422174185,0.1471654272514638,0.0,0.2475467506406322,0.2738589452082962,0.0,0.0,0.08575028083971716,0.055723653842472014,0.0,0.0,0.0
2019-07-22 00:00:00-04:00,0.20317995666866884,0.14749428748104515,0.0,0.26411213189117894,0.2948977176996718,0.0,0.0,0.010890689278778024,0.060002160732853214,0.0,0.0,0.01942305624780386
2019-07-29 00:00:00-04:00,0.20378429905194073,0.15021029859267915,0.0,0.27770143187981966,0.30536802010522407,0.0,0.0,0.0,0.06293595037033636,0.0,0.0,0.0
2019-08-05 00:00:00-04:00,0.1794964976973278,0.13779291559650786,0.0,0.24706160910198063,0.27654190438279397,0.0,0.0,0.039112788478866935,0.0932776341615827,0.0,0.0,0.026716650580939985
2019-08-12 00:00:00-04:00,0.18359437242385196,0.14375812604785546,0.0,0.24486252134188433,0.26425873752650314,0.0,0.0,0.09269632981883727,0.07082991284106796,0.0,0.0,0.0
2019-08-19 00:00:00-04:00,0.18200435028827358,0.13042655307263656,0.0,0.24222941479262944,0.26519991144333627,0.0,0.0,0.07796010056126618,0.07998682808118246,0.0,0.0,0.022192841760675652
2019-08-26 00:00:00-04:00,0.16830028805273553,0.13284735465684014,0.0,0.22366389113083646,0.24094920261883132,0.0,0.0,0.058289208711331926,0.0886986368130354,0.0,0.0,0.08725141801638922
2019-09-02 00:00:00-04:00,0.16860142521748167,0.1284415668756515,0.0,0.2171952957371055,0.2332977124515501,0.0,0.0,0.09526169382820296,0.06082436744146241,0.0,0.0,0.0963779384485459
2019-09-09 00:00:00-04:00,0.18422380052285112,0.1364852547093395,0.0,0.23807315130775972,0.2592030879515771,0.0,0.0,0.04082867395612658,0.07913622213900384,0.0,0.0,0.062049809413342115
2019-09-16 00:00:00-04:00,0.20044052340651203,0.1481412479776509,0.0,0.2612553202140488,0.29100733279929725,0.0,0.0,0.0,0.03795044071654345,0.0,0.0,0.06120513488594766
2019-09-23 00:00:00-04:00,0.184838361357722,0.12870293528255014,0.0,0.23699693663301272,0.2638876827888957,0.0,0.0,0.011844152698120496,0.040371410826795434,0.0,0.0,0.13335852041290353
2019-09-30 00:00:00-04:00,0.18225277270524812,0.13318691096885826,0.0,0.23727608846167209,0.2583371464516855,0.0,0.0,0.009251884492299519,0.057573010035742715,0.0,0.0,0.12212218688449393
2019-10-07 00:00:00-04:00,0.17844145252802096,0.14110734824473306,0.0,0.22331916151632497,0.24356180408555214,0.0,0.0,0.04494275824915019,0.03817724099491128,0.0,0.0,0.13045023438130746
2019-10-14 00:00:00-04:00,0.17532785078070565,0.14015858208846624,0.0,0.22227826050616595,0.23876216821660393,0.0,0.0,0.03636328211531589,0.052242471506180665,0.0,0.0,0.13486738478656154
2019-10-21 00:00:00-04:00,0.16774201057101018,0.13424219565932963,0.0,0.21844206752701412,0.23815980733512124,0.0,0.0,0.0768802308281492,0.052825398467201114,0.0,0.0,0.11170828961217451
2019-10-28 00:00:00-04:00,0.1696875127772462,0.13268911912702056,0.0,0.21525147127268082,0.2383211207849042,0.0,0.0,0.0748329173573338,0.05952094853903164,0.0,0.0,0.10969691014178264
2019-11-04 00:00:00-05:00,0.1756654220154808,0.12933261542452099,0.0,0.22398172094783692,0.24933943805994369,0.0,0.0,0.032953466685571246,0.07152886743461911,0.0,0.0,0.1171984694320274
2019-11-11 00:00:00-05:00,0.1948227865128907,0.14995571167708668,0.0,0.2518845972741019,0.27488533566798345,0.0,0.0,0.0,0.02343030939665863,0.0,0.0,0.10502125947127873
2019-11-18 00:00:00-05:00,0.1898127201382678,0.14166850837133738,0.0,0.23678130543936285,0.2670430382094057,0.0,0.0,0.01835268157094061,0.03389938161694322,0.0,0.0,0.11244236465374248
2019-11-25 00:00:00-05:00,0.18792397849150305,0.14661397588731312,0.0,0.22960186917866846,0.2560024087744985,0.0,0.0,0.003377404157603523,0.04973463772171413,0.0,0.0,0.12674572578869933
2019-12-02 00:00:00-05:00,0.19437341385665222,0.14424370454463933,0.0,0.244292070184591,0.27330057592157275,0.0,0.0,0.0,0.03197526643969755,0.0,0.0,0.11181496905284725
2019-12-09 00:00:00-05:00,0.18339526715397464,0.1436027167541163,0.0,0.2270414814276475,0.2517911564031703,0.0,0.0,0.026867266770266587,0.026207604354185905,0.0,0.0,0.1410945071366387
2019-12-16 00:00:00-05:00,0.19364886259627448,0.14591017808155782,0.0,0.24383938927973053,0.2751486019954973,0.0,0.0,0.0,0.04289978261300051,0.0,0.0,0.09855318543393951
2019-12-23 00:00:00-05:00,0.19038890200112876,0.14378032138505561,0.0,0.2377862913071322,0.2644088165952826,0.0,0.0,0.0,0.047067251966626845,0.0,0.0,0.11656841674477408
2019-12-30 00:00:00-05:00,0.19395032466136974,0.14845822056561422,0.0,0.24229225930646694,0.27326125269552026,0.0,0.0,0.01786886037246419,0.026740658377512015,0.0,0.0,0.09742842402105273
2020-01-06 00:00:00-05:00,0.21755599667215905,0.15826557115007395,0.0,0.2729243575489891,0.3081000766277851,0.0,0.0,0.0,0.04315399800099286,0.0,0.0,0.0
2020-01-13 00:00:00-05:00,0.21674387322183827,0.16561625293920126,0.0,0.27454123323126234,0.31079137563636483,0.0,0.0,0.0025966132607208444,0.029710651710612258,0.0,0.0,0.0
2020-01-20 00:00:00-05:00,0.2170029536319671,0.16877432222282096,0.0,0.27140580886015364,0.2981946909585282,0.0,0.0,0.0,0.044622224326530076,0.0,0.0,0.0
2020-01-27 00:00:00-05:00,0.22769148002568776,0.17620455778291313,0.0,0.27944431733235636,0.31665964485904274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03 00:00:00-05:00,0.21497580064650185,0.17126027418086565,0.0,0.26125452134633587,0.28804925488040944,0.0,0.0,0.02700834945159463,0.027156864228896956,0.0,0.0,0.010294935265395598
2020-02-10 00:00:00-05:00,0.21805374895488494,0.17605208626066138,0.0,0.2549667004296567,0.28113714559130176,0.0,0.0,0.0,0.06979031876349534,0.0,0.0,0.0
2020-02-17 00:00:00-05:00,0.21698030349774564,0.16738001470896,0.0,0.25716718878002676,0.2816087045352212,0.0,0.0,0.023631799133191057,0.05323198934485538,0.0,0.0,0.0
2020-02-24 00:00:00-05:00,0.2242245868203826,0.14030496374528048,0.0,0.26947556416655477,0.2923629826043451,0.0,0.0,0.0,0.073631902663437,0.0,0.0,0.0
2020-03-02 00:00:00-05:00,0.2187836977582123,0.14624749255158556,0.0,0.2568424852022847,0.2763521099222785,0.0,0.0,0.02910963719438052,0.07266457737125837,0.0,0.0,0.0
2020-03-09 00:00:00-04:00,0.20138178570789514,0.1490706914068791,0.0,0.24031901748851542,0.2568305603735415,0.0,0.0,0.040146780505854275,0.09026732899890196,0.0,0.0,0.021983835518412792
2020-03-16 00:00:00-04:00,0.16676354997799134,0.1302007591013599,0.0,0.1872289159979405,0.19904664352057258,0.0,0.0,0.12382199800625036,0.05043053514586458,0.0,0.0658021329071311,0.07670546534288963
2020-03-23 00:00:00-04:00,0.19290021813200203,0.14999848615617647,0.0,0.2150414725640735,0.22979051167350364,0.0,0.0,0.019314636400764255,0.0,0.0,0.07606179712342041,0.11689287795005965
2020-03-30 00:00:00-04:00,0.2510539053214613,0.1896891994344669,0.0,0.2652317383275185,0.2940251569165534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06 00:00:00-04:00,0.23401534165921906,0.18812222772621306,0.0,0.2662053336302572,0.3116570969843106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13 00:00:00-04:00,0.2510323202368028,0.17027752548857833,0.0,0.26817896516293993,0.310511189111679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20 00:00:00-04:00,0.2489313203990789,0.12683254491884846,0.0,0.2906253419674388,0.3336107927146338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11 00:00:00-04:00,0.24667918225171676,0.16125398759990978,0.0,0.28055002917206645,0.3115168009763071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18 00:00:00-04:00,0.24000143271692437,0.17246437741985632,0.0,0.2810979917433823,0.3064361981198371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25 00:00:00-04:00,0.17046520106454588,0.12442652550552578,0.0,0.1914553479729608,0.20781983007190702,0.0,0.0,0.1474936603106438,0.0,0.0,0.01641500868696406,0.14192442638745265
